impactIndicatorId,impactMethodName,impactCategoryName,impactName,unitName,amount
bfbecdfe-7374-4c10-9fe7-c886fdd1978d,CML v4.8 2016,acidification,"acidification (incl. fate, average Europe total, A&B)",kg SO2-Eq,0.0007234402188958692
0e8ded58-82fd-491c-a5d3-1c2e100cb843,CML v4.8 2016,climate change,global warming potential (GWP100),kg CO2-Eq,0.2254104889690696
690cf42b-2716-414f-9532-2f33e0e8cf07,CML v4.8 2016,ecotoxicity: freshwater,freshwater aquatic ecotoxicity (FAETP inf),"kg 1,4-DCB-Eq",0.10348786844253563
2089f8c8-5d7a-42b6-8287-22554b2f7013,CML v4.8 2016,ecotoxicity: marine,marine aquatic ecotoxicity (MAETP inf),"kg 1,4-DCB-Eq",264.92479402666856
15aa9cec-9211-40fa-b6cf-014e7ff73bd4,CML v4.8 2016,ecotoxicity: terrestrial,terrestrial ecotoxicity (TETP inf),"kg 1,4-DCB-Eq",0.005426801428631743
a731d4ee-5daa-44c2-9254-3a619bc5c328,CML v4.8 2016,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,MJ,0.47838175917276965
36a9b35e-9698-4efc-a602-5f582666f069,CML v4.8 2016,eutrophication,eutrophication (fate not incl.),kg PO4-Eq,0.00023152008759442963
de31245f-5c3a-4780-bc82-9c03e3a0be88,CML v4.8 2016,human toxicity,human toxicity (HTP inf),"kg 1,4-DCB-Eq",0.7346734222861928
f9a48cde-8ca6-426a-8b6c-d55e529566f8,CML v4.8 2016,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,7.739379742388564E-07
b6647543-8832-4c2f-af46-75927f851c05,CML v4.8 2016,ozone depletion,ozone layer depletion (ODP steady state),kg CFC-11-Eq,3.8941969553347227E-10
a377c6b5-3b02-43fc-8038-c35c573e17d4,CML v4.8 2016,photochemical oxidant formation,photochemical oxidation (high NOx),kg ethylene-Eq,6.039592477099296E-05
7b3693dc-ff80-4b1b-918a-cadaf68f1260,CML v4.8 2016 no LT,acidification no LT,"acidification (incl. fate, average Europe total, A&B) no LT",kg SO2-Eq,0.0007234402141288838
66c59480-22c7-48eb-9e8b-701303ce2c8e,CML v4.8 2016 no LT,climate change no LT,global warming potential (GWP100) no LT,kg CO2-Eq,0.22541048842818726
9ac3f757-68d0-4f42-aa63-0d9aba482aa8,CML v4.8 2016 no LT,ecotoxicity: freshwater no LT,freshwater aquatic ecotoxicity (FAETP inf) no LT,"kg 1,4-DCB-Eq",0.03975860050385404
ad9efc45-c113-4107-b70a-50473f8fb268,CML v4.8 2016 no LT,ecotoxicity: marine no LT,marine aquatic ecotoxicity (MAETP inf) no LT,"kg 1,4-DCB-Eq",197.39819544435252
48d5358a-c607-46b3-92b4-8bd21c9c2500,CML v4.8 2016 no LT,ecotoxicity: terrestrial no LT,terrestrial ecotoxicity (TETP inf) no LT,"kg 1,4-DCB-Eq",0.005418486118449845
14fe8df0-64d7-4b27-b6fd-ae64f299bdd9,CML v4.8 2016 no LT,energy resources: non-renewable no LT,abiotic depletion potential (ADP): fossil fuels no LT,MJ,0.47838175917276965
6219b1b2-420f-4526-9c05-f24c937965ec,CML v4.8 2016 no LT,eutrophication no LT,eutrophication (fate not incl.) no LT,kg PO4-Eq,0.00019278525172710466
d470b058-c8db-49e6-a319-b844dbd0a9b2,CML v4.8 2016 no LT,human toxicity no LT,human toxicity (HTP inf) no LT,"kg 1,4-DCB-Eq",0.6840820798473897
